Threshold,TotalErr
2.2204460492503131e-16,0
1.0000022182256031e-10,0
2.000002216005157e-10,0
3.000002213784711e-10,0
4.0000022115642648e-10,0
5.0000022093438185e-10,0
6.0000022071233728e-10,0
7.0000022049029271e-10,0
8.0000022026824813e-10,0
9.0000022004620356e-10,0
1.000000219824159e-09,0
1.1000002196021144e-09,0
1.2000002193800698e-09,0
1.3000002191580253e-09,0
1.4000002189359807e-09,0
1.5000002187139361e-09,0
1.6000002184918915e-09,0
1.700000218269847e-09,0
1.8000002180478024e-09,0
1.9000002178257576e-09,0
2.0000002176037131e-09,0
2.1000002173816685e-09,0
2.2000002171596239e-09,0
2.3000002169375793e-09,0
2.4000002167155348e-09,0
2.5000002164934902e-09,0
2.6000002162714456e-09,0
2.700000216049401e-09,0
2.8000002158273565e-09,0
2.9000002156053119e-09,0
3.0000002153832673e-09,0
3.1000002151612227e-09,0
3.2000002149391782e-09,0
3.3000002147171336e-09,0
3.400000214495089e-09,0
3.5000002142730445e-09,0
3.6000002140509999e-09,0
3.7000002138289553e-09,0
3.8000002136069103e-09,0
3.9000002133848653e-09,0
4.0000002131628203e-09,0
4.1000002129407754e-09,0
4.2000002127187304e-09,0
4.3000002124966854e-09,0
4.4000002122746404e-09,0
4.5000002120525954e-09,0
4.6000002118305504e-09,0
4.7000002116085054e-09,0
4.8000002113864605e-09,0
4.9000002111644155e-09,0
5.0000002109423705e-09,0
5.1000002107203255e-09,0
5.2000002104982805e-09,0
5.3000002102762355e-09,0
5.4000002100541905e-09,0
5.5000002098321455e-09,0
5.6000002096101006e-09,0
5.7000002093880556e-09,0
5.8000002091660106e-09,0
5.9000002089439656e-09,0
6.0000002087219206e-09,0
6.1000002084998756e-09,0
6.2000002082778306e-09,0
6.3000002080557857e-09,0
6.4000002078337407e-09,0
6.5000002076116957e-09,0
6.6000002073896507e-09,0
6.7000002071676057e-09,0
6.8000002069455607e-09,0
6.9000002067235157e-09,0
7.0000002065014707e-09,0
7.1000002062794258e-09,0
7.2000002060573808e-09,0
7.3000002058353358e-09,0
7.4000002056132908e-09,0
7.5000002053912466e-09,0
7.6000002051692025e-09,0
7.7000002049471583e-09,0
7.8000002047251142e-09,0
7.90000020450307e-09,0
8.0000002042810258e-09,0
8.1000002040589817e-09,0
8.2000002038369375e-09,0
8.3000002036148934e-09,0
8.4000002033928492e-09,0
8.500000203170805e-09,0
8.6000002029487609e-09,0
8.7000002027267167e-09,0
8.8000002025046726e-09,0
8.9000002022826284e-09,0
9.0000002020605843e-09,0
9.1000002018385401e-09,0
9.2000002016164959e-09,0
9.3000002013944518e-09,0
9.4000002011724076e-09,0
9.5000002009503635e-09,0
9.6000002007283193e-09,0
9.7000002005062751e-09,0
9.800000200284231e-09,0
9.9000002000621868e-09,0
1.0000000199840143e-08,0
1.0100000199618098e-08,0
1.0200000199396054e-08,0
1.030000019917401e-08,0
1.0400000198951966e-08,0
1.0500000198729922e-08,0
1.0600000198507878e-08,0
1.0700000198285834e-08,0
1.0800000198063789e-08,0
1.0900000197841745e-08,0
1.1000000197619701e-08,0
1.1100000197397657e-08,0
1.1200000197175613e-08,0
1.1300000196953569e-08,0
1.1400000196731524e-08,0
1.150000019650948e-08,0
1.1600000196287436e-08,0
1.1700000196065392e-08,0
1.1800000195843348e-08,0
1.1900000195621304e-08,0
1.2000000195399259e-08,0
1.2100000195177215e-08,0
1.2200000194955171e-08,0
1.2300000194733127e-08,0
1.2400000194511083e-08,0
1.2500000194289039e-08,0
1.2600000194066995e-08,0
1.270000019384495e-08,0
1.2800000193622906e-08,0
1.2900000193400862e-08,0
1.3000000193178818e-08,0
1.3100000192956774e-08,0
1.320000019273473e-08,0
1.3300000192512685e-08,0
1.3400000192290641e-08,0
1.3500000192068597e-08,0
1.3600000191846553e-08,0
1.3700000191624509e-08,0
1.3800000191402465e-08,0
1.390000019118042e-08,0
1.4000000190958376e-08,0
1.4100000190736332e-08,0
1.4200000190514288e-08,0
1.4300000190292244e-08,0
1.44000001900702e-08,0
1.4500000189848155e-08,0
1.4600000189626111e-08,0
1.4700000189404067e-08,0
1.4800000189182023e-08,0
1.4900000188959979e-08,0
1.5000000188737935e-08,0
